frase,situacao
sinto dor no peito e falta de ar,alto risco
tive um leve incômodo nas costas,baixo risco
estou com febre alta e dificuldade para respirar,alto risco
tenho uma dor de cabeça leve,baixo risco
sinto formigamento no braço esquerdo e dor no peito,alto risco
estou com um pequeno corte no dedo,baixo risco
perdi a consciência por alguns segundos,alto risco
estou com leve dor de garganta,baixo risco
sinto batimentos cardíacos irregulares e tontura intensa,alto risco
tenho um leve cansaço após o exercício,baixo risco
vomitei sangue agora pouco,alto risco
estou com nariz entupido há dois dias,baixo risco
sinto dor intensa no abdômen e náusea forte,alto risco
tenho coceira leve na pele,baixo risco
estou com pressão muito alta e dor de cabeça forte,alto risco
sinto um leve desconforto no estômago,baixo risco
tive convulsão e perdi os sentidos,alto risco
estou com tosse seca leve,baixo risco
sinto fraqueza em um lado do corpo e confusão mental,alto risco
tenho dor muscular leve depois da academia,baixo risco
estou com falta de ar intensa mesmo em repouso,alto risco
sinto um pequeno arranhão no braço,baixo risco
tenho dor no peito que irradia para o braço,alto risco
estou com leve enjoo após comer,baixo risco
sinto tontura intensa e não consigo me manter de pé,alto risco
tenho um leve inchaço no tornozelo,baixo risco
estou vomitando constantemente e com dor abdominal grave,alto risco
sinto um desconforto leve ao engolir,baixo risco
tive uma reação alérgica grave com inchaço na garganta,alto risco
estou com leve vermelhidão na pele,baixo risco
sinto dor no peito ao respirar e febre alta,alto risco
tenho um pequeno hematoma no joelho,baixo risco
estou com confusão mental súbita e dificuldade para falar,alto risco
sinto cansaço leve no final do dia,baixo risco
tive sangramento intenso que não para,alto risco
estou com leve dor nas juntas,baixo risco
sinto pressão forte no peito e suor frio,alto risco
tenho dor de cabeça leve que passou com analgésico,baixo risco
estou com febre acima de 40 graus e tremores,alto risco
sinto um leve formigamento nas mãos,baixo risco
